Volatility 3 Framework 2.27.0

Offset	Proto	LocalAddr	LocalPort	ForeignAddr	ForeignPort	State	PID	Owner	Created

0x3e80b840	UDPv4	0.0.0.0	3702	*	0		472	svchost.exe	2019-12-11 14:32:50.000000 UTC
0x3e80b840	UDPv6	::	3702	*	0		472	svchost.exe	2019-12-11 14:32:50.000000 UTC
0x3e80bbb0	UDPv4	0.0.0.0	3702	*	0		472	svchost.exe	2019-12-11 14:32:50.000000 UTC
0x3e80bbb0	UDPv6	::	3702	*	0		472	svchost.exe	2019-12-11 14:32:50.000000 UTC
0x3e820ec0	UDPv4	0.0.0.0	0	*	0		2368	svchost.exe	2019-12-11 14:32:51.000000 UTC
0x3e820ec0	UDPv6	::	0	*	0		2368	svchost.exe	2019-12-11 14:32:51.000000 UTC
0x3e825ec0	UDPv4	0.0.0.0	0	*	0		2368	svchost.exe	2019-12-11 14:32:52.000000 UTC
0x3e825ec0	UDPv6	::	0	*	0		2368	svchost.exe	2019-12-11 14:32:52.000000 UTC
0x3e86c5a0	UDPv4	0.0.0.0	0	*	0		2368	svchost.exe	2019-12-11 14:33:03.000000 UTC
0x3e86c5a0	UDPv6	::	0	*	0		2368	svchost.exe	2019-12-11 14:33:03.000000 UTC
0x3e8acba0	UDPv4	0.0.0.0	59438	*	0		472	svchost.exe	2019-12-11 14:33:14.000000 UTC
0x3e8acba0	UDPv6	::	59438	*	0		472	svchost.exe	2019-12-11 14:33:14.000000 UTC
0x3e8ae9c0	UDPv4	0.0.0.0	59437	*	0		472	svchost.exe	2019-12-11 14:33:14.000000 UTC
0x3ea01720	TCPv4	0.0.0.0	19	0.0.0.0	0	LISTENING	1416	TCPSVCS.EXE	-
0x3ea062d0	UDPv4	0.0.0.0	19	*	0		1416	TCPSVCS.EXE	2019-12-11 13:41:56.000000 UTC
0x3ea062d0	UDPv6	::	19	*	0		1416	TCPSVCS.EXE	2019-12-11 13:41:56.000000 UTC
0x3ea06a40	UDPv4	0.0.0.0	19	*	0		1416	TCPSVCS.EXE	2019-12-11 13:41:56.000000 UTC
0x3ea06ef0	TCPv4	0.0.0.0	19	0.0.0.0	0	LISTENING	1416	TCPSVCS.EXE	-
0x3ea06ef0	TCPv6	::	19	::	0	LISTENING	1416	TCPSVCS.EXE	-
0x3ea0b900	TCPv4	0.0.0.0	17	0.0.0.0	0	LISTENING	1416	TCPSVCS.EXE	-
0x3ea10200	UDPv4	0.0.0.0	17	*	0		1416	TCPSVCS.EXE	2019-12-11 13:41:56.000000 UTC
0x3ea10200	UDPv6	::	17	*	0		1416	TCPSVCS.EXE	2019-12-11 13:41:56.000000 UTC
0x3ea10970	UDPv4	0.0.0.0	17	*	0		1416	TCPSVCS.EXE	2019-12-11 13:41:56.000000 UTC
0x3ea10ef0	TCPv4	0.0.0.0	17	0.0.0.0	0	LISTENING	1416	TCPSVCS.EXE	-
0x3ea10ef0	TCPv6	::	17	::	0	LISTENING	1416	TCPSVCS.EXE	-
0x3ea39190	UDPv4	0.0.0.0	49194	*	0		1372	svchost.exe	2019-12-11 13:41:58.000000 UTC
0x3ea3c940	UDPv4	0.0.0.0	49195	*	0		1372	svchost.exe	2019-12-11 13:41:58.000000 UTC
